freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
5.0000e-02	0	false	1462302	9.5310e-05	9.5497e-07	9.9804e+01	0.0000e+00	4.0201e-03	3.8808e-01	3.8805e-01	9.9609e+03	0.0000e+00	15708	2.4036e-03	4.5989e-05	5.2265e+01	0.0000e+00	1.2367e-06	1.3472e-08	9.1802e+01	0.0000e+00	4.1459e-03	3.4921e-01	3.4917e-01	8.4276e+03	0.0000e+00	15708	2.8940e-03	4.4986e-05	6.4330e+01	0.0000e+00
5.0000e-02	0	true	91481	4.5126e-04	7.2846e-06	6.1948e+01	0.0000e+00	4.6071e-03	1.9636e-01	1.9631e-01	3.8375e+03	0.0000e+00	15708	3.3725e-03	5.2480e-05	6.4264e+01	0.0000e+00	2.1277e-05	2.7379e-07	7.7712e+01	0.0000e+00	4.3677e-03	2.7772e-01	2.7768e-01	6.0391e+03	0.0000e+00	15708	3.0077e-03	4.9074e-05	6.1289e+01	0.0000e+00
5.0000e-02	1	false	213976	4.0321e-04	3.9792e-06	1.0133e+02	0.0000e+00	3.9963e-03	3.9532e-01	3.9528e-01	1.0268e+04	0.0000e+00	15708	2.3250e-03	4.6058e-05	5.0481e+01	0.0000e+00	1.1010e-05	1.7287e-07	6.3692e+01	0.0000e+00	4.5815e-03	2.0527e-01	2.0522e-01	4.0567e+03	0.0000e+00	15708	3.1297e-03	5.4366e-05	5.7567e+01	0.0000e+00
5.0000e-02	1	true	11540	1.5142e-03	3.5963e-05	4.2104e+01	0.0000e+00	4.8716e-03	1.0142e-01	1.0136e-01	1.7727e+03	0.0000e+00	15708	4.6501e-03	4.6089e-05	1.0089e+02	0.0000e+00	2.0595e-04	3.6386e-06	5.6601e+01	0.0000e+00	4.6837e-03	1.6942e-01	1.6937e-01	3.2037e+03	0.0000e+00	15708	3.4913e-03	5.3938e-05	6.4729e+01	0.0000e+00
5.0000e-02	5	false	34056	6.3513e-04	5.5880e-06	1.1366e+02	0.0000e+00	3.8068e-03	4.5130e-01	4.5127e-01	1.2918e+04	0.0000e+00	15708	2.1551e-03	4.3490e-05	4.9553e+01	0.0000e+00	1.8270e-04	3.0832e-06	5.9255e+01	0.0000e+00	4.6461e-03	1.8271e-01	1.8266e-01	3.5112e+03	0.0000e+00	15708	2.7841e-03	6.1513e-05	4.5261e+01	0.0000e+00
5.0000e-02	5	true	1784	2.3262e-03	5.8213e-05	3.9960e+01	0.0000e+00	4.8963e-03	9.2285e-02	9.2227e-02	1.5968e+03	0.0000e+00	15708	4.8660e-03	4.4208e-05	1.1007e+02	0.0000e+00	1.1005e-03	3.9761e-05	2.7678e+01	1.1077e-164	5.0183e-03	4.6509e-02	4.6448e-02	7.6609e+02	1.1077e-164	15708	4.8860e-03	4.9527e-05	9.8653e+01	0.0000e+00
5.0000e-02	10	false	24917	6.5459e-04	4.9664e-06	1.3180e+02	0.0000e+00	3.5413e-03	5.2519e-01	5.2516e-01	1.7372e+04	0.0000e+00	15708	1.7226e-03	4.1300e-05	4.1711e+01	0.0000e+00	3.0271e-04	4.9815e-06	6.0766e+01	0.0000e+00	4.6243e-03	1.9035e-01	1.9030e-01	3.6926e+03	0.0000e+00	15708	2.3771e-03	6.5869e-05	3.6088e+01	4.7833e-274
5.0000e-02	10	true	1421	2.4711e-03	5.8185e-05	4.2469e+01	0.0000e+00	4.8673e-03	1.0301e-01	1.0295e-01	1.8036e+03	0.0000e+00	15708	4.7972e-03	4.4192e-05	1.0856e+02	0.0000e+00	4.2627e-04	3.0141e-05	1.4142e+01	3.9406e-45	5.1068e-03	1.2574e-02	1.2511e-02	2.0001e+02	3.9406e-45	15708	5.1132e-03	5.7793e-05	8.8475e+01	0.0000e+00
1.0000e-01	-10	false	34523	1.9947e-04	8.9161e-07	2.2372e+02	0.0000e+00	2.5116e-03	7.6115e-01	7.6114e-01	5.0052e+04	0.0000e+00	15708	-1.6850e-03	3.8589e-05	-4.3664e+01	0.0000e+00	9.5473e-05	1.3240e-06	7.2107e+01	0.0000e+00	4.4545e-03	2.4871e-01	2.4866e-01	5.1994e+03	0.0000e+00	15708	5.9484e-04	7.9131e-05	7.5171e+00	5.9032e-14
1.0000e-01	-10	true	2313	1.0875e-03	1.4828e-05	7.3340e+01	0.0000e+00	4.4355e-03	2.5510e-01	2.5505e-01	5.3787e+03	0.0000e+00	15708	2.0158e-03	6.1369e-05	3.2847e+01	6.4259e-229	2.4012e-04	1.2973e-05	1.8509e+01	1.1160e-75	5.0841e-03	2.1346e-02	2.1284e-02	3.4258e+02	1.1160e-75	15708	4.3965e-03	8.0936e-05	5.4320e+01	0.0000e+00
